source,seed,attack,expected,ber,ecc_pressure,rms,peak,zcr,centroid,hf_ratio,lf_ratio,flatness,edge_ratio,column_shift_pressure
data\sample_audio\temp.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.056087739765644073,1.0,0.06868312762285493,324.36594745541476,0.0019756421966795577,0.9765469375787487,0.2192223162249179,0.0004943253328260425,0.5011412751210738
data\sample_audio\temp.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.0560896135866642,1.0008268356323242,0.10741336008331367,325.0774466347634,0.0020179614056928057,0.9764937783908529,0.32986520458419516,0.0006445642948144208,0.4974628613111894
data\sample_audio\temp.wav,42,crop,CROPPING,0.14,0.14,0.056087739765644073,1.0,0.06804567427369232,324.3687621833974,0.001975658978608793,0.9765467305320799,0.2192192293047018,0.00040446604183756436,0.5011573867832666
data\sample_audio\temp.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.056081242859363556,1.0004240274429321,0.07086479935661685,321.94530594786977,0.0017893272582820002,0.9767356224566189,0.022220466937806882,0.0004936934473978493,0.5002616563007937
data\sample_audio\temp.wav,42,resample,RESAMPLING,0.12,0.12,0.05608728155493736,1.000247836112976,0.07909857178330046,324.1306966507244,0.0019619626815942566,0.9765603227090811,0.021616616308291436,0.0004939503404888936,0.5009473650021937
data\sample_audio\temp.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.053482335060834885,0.9535477161407471,0.06868312762285493,324.3659474554148,0.0019756421966795577,0.9765469375787489,0.21922231622601035,0.0004943253859697318,0.5011412751209358
data\sample_audio\temp.wav,42,compression,COMPRESSION,0.11,0.11,0.05676630139350891,0.8125,0.06868312762285493,509.7199309881896,0.011544276795046163,0.9604520890362318,0.6746328532663098,0.0,0.5062270707112017
data\sample_audio\temp.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04710838571190834,0.700454592704773,0.0686843629975626,293.34652130670156,0.0017326774344718708,0.983750215628308,0.2124564693452025,0.0016499160372404822,0.5004710616447173
data\sample_audio\watermarked.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05608667433261871,1.0,0.0689672638056212,324.28154598792327,0.00197564243392287,0.9765594113716752,0.21929352731112453,0.0004943440537814488,0.5010859847445132
data\sample_audio\watermarked.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.05608855187892914,1.0008268356323242,0.1081274066643524,324.9933493239019,0.002017965251830118,0.9765061984313596,0.32990490483104595,0.0006445886575974586,0.4974228571470517
data\sample_audio\watermarked.wav,42,crop,CROPPING,0.14,0.14,0.05608667433261871,1.0,0.0683298104564586,324.2843597367673,0.001975659217975743,0.9765592043671495,0.219290738050341,0.0004044813887698557,0.5011060291280476
data\sample_audio\watermarked.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.056080177426338196,1.000586748123169,0.07117858453236743,321.86095000087715,0.001789330926813942,0.9767480925572528,0.022224234106578866,0.000493712148757007,0.5002039416839703
data\sample_audio\watermarked.wav,42,resample,RESAMPLING,0.12,0.12,0.056086216121912,1.000551700592041,0.0809837535872193,324.0462825125587,0.0019619623150674117,0.9765727972637684,0.02161930119584314,0.0004939690792448881,0.5008917979370309
data\sample_audio\watermarked.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.053481325507164,0.9535477161407471,0.0689672638056212,324.2815459879232,0.00197564243392287,0.9765594113716751,0.2192935273122159,0.0004943441747564897,0.5010859847443749
data\sample_audio\watermarked.wav,42,compression,COMPRESSION,0.11,0.11,0.05676141381263733,0.8125,0.0689672638056212,509.46567013458025,0.011534667480080321,0.9604723944213303,0.674322845333754,0.0,0.5063301526246272
data\sample_audio\watermarked.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04710774123668671,0.700454592704773,0.06896849918032888,293.28135805615716,0.0017326631596620882,0.9837598652542022,0.2125006518568302,0.0016499611675153934,0.5004461831025767
input_audio\protected.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05613655969500542,1.006135106086731,0.09257033297054496,329.4498275403848,0.001972779458605283,0.9757621031509145,0.21735119943926043,0.000493465947264051,0.4973521041949244
